filename,bpm,key,camelot,energy
HOP BUNNY HOP.mp3,92.3,E major,12B,7
Leaned out 1 (1).wav,152.0,G minor,6A,9
nunzio 430 final mix.mp3,123.0,E major,12B,5
ME GUSTA D & B.mp3,86.1,D major,10B,6
AUDIO_6480.mp3,86.1,F# minor,11A,6
ARZA - Swear Fo 2 vocals.wav,129.2,G minor,6A,9
new leef v9.wav,123.0,D major,10B,6
SHAKE THAT ASS FUNKERSIZE 2.wav,86.1,F# minor,11A,9
england (BPM 124).wav,86.1,E major,12B,5
Janis and The Planets - Safespace v1.wav,86.1,F major,7B,3
112 Cmin - Wanna B. 11.29.22 - skeleton.mp3,89.1,G# minor,1A,5
eastermotherfucuckin eggs 1.mp3,92.3,A minor,8A,7
_dissss.aif,123.0,A minor,8A,5
THE ALCHEMIST x GRISELDA TYPE BEAT - Resolve.mp3,80.7,A major,11B,6
hip hop 18.mp3,143.6,D minor,7A,6
AZ 2.mp3,89.1,D major,10B,6
thisisit.mp3,86.1,A minor,8A,2
9..10.24 Lonely 111 BPM Note F#.aif,92.3,F# minor,11A,6
Janis and The Planets - (instrumental) What They Saying_.wav,117.5,D major,10B,5
ARZA - Swear Fo.wav,92.3,F# minor,11A,6
barbie remix v333.mp3,86.1,A minor,8A,6
Dilon Karim - Attitude (Alternate Dub).wav,86.1,D major,10B,6
Zonii x Sergik - trippin Hard.wav,143.6,D major,10B,6
Lucidic.wav,86.1,E minor,9A,6
Sploink Music.wav,80.7,B minor,10A,7
connection.wav,152.0,D major,10B,7
MA_DanBarracuda_Medianoche_Instrumental.wav,117.5,F# major,2B,5
Barrio Bros - Bloops.wav,86.1,A major,11B,6
Tommorow maybe-2.wav,117.5,C# major,3B,5
Clear Dessert Skies Ft. Mewgun (guitar).mp3,86.1,A major,11B,5
space dust.wav,123.0,C minor,5A,6
Dunes of Dawn & Dilon Karim - Thought Process (DEMO).wav,143.6,D major,10B,6
Arza - Dark Triad 120bpm D min.wav,92.3,D minor,7A,3
Ego Trippin Master.wav,89.1,A minor,8A,6
I'll wait Hip Hop Type Beat.wav,92.3,D major,10B,6
Mike Crowe Mycology Series V1 - Sounds by SERGIK.wav,129.2,D major,10B,5
in the town (0).wav,123.0,B minor,10A,6
Lucy Lights.wav,112.3,A major,11B,5
sine_init v2.wav,92.3,B minor,10A,5
SnoopCat.wav,92.3,F# minor,11A,6
Slick Floyd x SERGIK x Silent Jay - Sonic Movement FINAL.wav,129.2,D major,10B,6
Floating the city (0).wav,123.0,D minor,7A,6
BeJanis x Sergik's Secret - Soul Infinite (Instrumental).wav,92.3,,,1
i do remember logan v2 3.wav,117.5,E major,12B,5
BUBBLES NEW.wav,143.6,A major,11B,5
jake alexander v1.aif,123.0,A minor,8A,5
Janis & The Planets - Safe Bubble.wav,86.1,F major,7B,3
Cloupour JFears.wav,78.3,D major,10B,6
9.24.24 What A Day 120 BPM Note F.aif,123.0,F major,7B,6
No Beer Here (0).wav,92.3,D minor,7A,6
MARIJUANA;) saluddddd v2.wav,86.1,A major,11B,5
This is the sound.wav,123.0,D major,10B,7
Alien Nate - Nateski.mp3,86.1,B minor,10A,8
EAT THE ACID V2.wav,86.1,A minor,8A,7
WHAT THE FUCK.mp3,86.1,A major,11B,4
upcoming (0).wav,99.4,E major,12B,6
Arza - Art Of Dying 127bpm prod. Arza E♭ min.wav,89.1,F# major,2B,5
Dmtree - Overgrown.wav,92.3,G# minor,1A,6
SEERGIK - All The Vibes.wav,86.1,D major,10B,7
phase distortion v3.wav,89.1,D major,10B,5
Arza - Hologram G min.wav,92.3,G minor,6A,5
Sugar Cubes (0).wav,78.3,A major,11B,5
BATTERYLO & PALMA-  LZRR V1.wav,129.2,B minor,10A,5
vos bitch.wav,92.3,D major,10B,9
Andino x Sergik x Janis - Tradicion.wav,129.2,D major,10B,6
double it j dawg.mp3,117.5,G# minor,1A,6
"Dilon Karim, Vincent William - Like It, Hold it.wav",123.0,D minor,7A,5
bobby BATTLO v7.wav,92.3,D major,10B,6
8.28.24 Tryin Be 120 BPM Note E.aif,86.1,E minor,9A,6
BOBBY HILL.aif,86.1,A major,11B,6
Hip Hop.mp3,89.1,A minor,8A,6
Nettspend Type Beat onmymind (prod. Zoowe).mp3 C major 8B 149.wav,99.4,G major,9B,6
JXH collab 1.mp3,112.3,F# minor,11A,6
Dont Fight it - LODB X JCREATE (0).wav,92.3,F# minor,11A,6
Keep It Secret - JIMII & Jetski (V1).wav,129.2,D major,10B,9
Hip Hop 8.mp3,89.1,D major,10B,6
Arza - Jumpin Out The Jet 150bpm B min.wav,76.0,F# minor,11A,6
OMNOM x SERGIK - CONTRABAND.wav,86.1,C major,8B,7
Hip Hop 5.mp3,89.1,E minor,9A,6
understood.wav,92.3,F# minor,11A,5
Fly Aliens - SERGIC x NAM x Mateo Haze.wav,123.0,F# major,2B,6
Overtime.wav,89.1,A major,11B,5
Hip Hop 12.mp3,143.6,F# minor,11A,5
Arza - Figure It Out 135bpm Gb min.wav,143.6,F# minor,11A,5
Hip Hop 13.mp3,86.1,D major,10B,6
minimal baby - Frandisco.mp3,129.2,D minor,7A,5
SPEEDBUMPSAHEAD.mp3,136.0,D major,10B,6
Equipoise (0).wav,86.1,A minor,8A,6
Instrumental Michael Crowe Mycology Series V1 - Sounds by SERGIK.wav,129.2,D minor,7A,5
Janis and The Planets - shangralalalala Dmaj 120bpm.mp3,152.0,D major,10B,6
OG Coconut - Vivid (SERGIK Master).wav,123.0,A minor,8A,5
Silent Jay x Sergik - Move Me.wav,86.1,D major,10B,9
Lodin - A Letter From Home (Unreleased).mp3,129.2,D major,10B,6
ARZA x SERGIK - The Grind.wav,129.2,C major,8B,5
DINO x SERGIK - MINIMAL.wav,129.2,F major,7B,7
remember_the_times.wav,103.4,D major,10B,6
you can fw us cd-6 edit.aif,129.2,D major,10B,7
Told Me (0).wav,78.3,E minor,9A,4
Waavy.wav,117.5,A major,11B,6
Hip Hop 6.mp3,152.0,D minor,7A,5
BENNY THE BUTCHER x 38 SPESH x JADAKISS Type Beat - Revenge.mp3,123.0,F# minor,11A,6
gaslamp district mv1.aif,92.3,A# minor,3A,6
SAFECRACKERS SAVING KIKI KYTE.mp3,117.5,A# minor,3A,7
On the Road session.mp3,86.1,B minor,10A,7
Dreaming Jet 3.mp3,129.2,D minor,7A,9
Janis and the Planets - Miel.wav,117.5,D minor,7A,6
Jazz 1 bass.mp3,123.0,F major,7B,2
Markadelic - Pattern 1 - 110 - 1.wav,92.3,D minor,7A,1
Hip Hop 10.mp3,86.1,E minor,9A,6
doors of perception.mp3,129.2,A minor,8A,5
Chasing Dreams (1).wav,123.0,A# minor,3A,5
Dreaming Jet 2.mp3,129.2,D minor,7A,9
understood (0).wav,92.3,F# minor,11A,5
6.24.24 V2.0 Smells like FUNK 114 bpm Note C.aif,112.3,C major,8B,6
4. POWER OF SNACKS.mp3,92.3,D major,10B,6
Feel Good.wav,129.2,D minor,7A,5
Try Me Mix-Down_master 2.wav,86.1,A minor,8A,7
Old Fellas - Azare Ft. JCreate 3.mp3,80.7,A major,11B,6
DOMMO - MYLOVE4U.wav,129.2,F# minor,11A,9
Optikz x SERGIK(Vips) - Crowd Control - House.wav,123.0,A minor,8A,8
Rushh.wav,123.0,B minor,10A,6
Dilon Karim - Chancellor.wav,89.1,A major,11B,5
Jetlosh - Flume Kiss.mp3,129.2,A major,11B,6
Chasing Dreams (0).wav,123.0,A# minor,3A,5
Try Me Mix-Down_master.wav,86.1,A minor,8A,7
mm chop.mp3,123.0,C minor,5A,1
jordan beat 2.mp3,83.4,D major,10B,6
Night Moon Light.mp3,86.1,C major,8B,6
Hip Hop 14.mp3,143.6,D major,10B,5
Chasing the sun to Tokyo.wav,89.1,E minor,9A,6
Dilon Karim - Hedonistic Dreams.wav,129.2,C# minor,12A,4
DISCO MELODY.wav,76.0,A minor,8A,4
JIMII x Sergik - dublin.wav,86.1,D major,10B,8
FANTASTIC DIALOG.mp3,92.3,A minor,8A,3
hip hop 15.mp3,86.1,A minor,8A,6
SERPANT 1.aif,136.0,A minor,8A,6
Optikz x SERGIK(Vips) - Crowd Control - House _ Trap.wav,86.1,D major,10B,7
Samurai Showdown (0).wav,89.1,D major,10B,6
LANDR-emodrill_153bpm-Open-High 2.mp3,86.1,B major,1B,6
01 Arza (One Word) ruff mix 1.mp3,152.0,D minor,7A,6
Mykeology Audio.wav,76.0,A minor,8A,6
Arza - Already Know 129bpm A# min.wav,117.5,F minor,4A,4
SHAKEDIT.mp3,103.4,D major,10B,8
Sunday laxing.mp3,152.0,C major,8B,5
"diablo - coco, auxlee MASTER v1122.wav",129.2,A major,11B,6
ANDINO x SERGIK - Bird Talk.wav,86.1,G major,9B,6
We Should Save - Dubba Haus.wav,129.2,A major,11B,7
Dilon Karim - Attitude (Alternate Dub) 2.wav,86.1,D major,10B,6
10A - DAY N NITE (PIERCE REMIX) V3.wav,92.3,D major,10B,6
Sean Hart x Sean Watson x Janis x SERGIK - Safespace (OG Mix).wav,136.0,F major,7B,5
Janis and The Planets - What They Saying_.wav,117.5,D major,10B,6
Mac Miller - Self Care Acapella (Vocals Only).mp3,143.6,A major,11B,5
GREEN VELVET - LAZER BEAMS (BREAUXX REMIX).mp3,86.1,D major,10B,7
hip hop 16.mp3,143.6,F# minor,11A,7
WHO R U v10.wav,86.1,D major,10B,7
8.30.24 V2.0 Tron 120 BPM Note C.aif,89.1,C major,8B,7
BABYBEMINE RIGHT NOW.mp3,112.3,A minor,8A,5
DISCO BASS A.wav,80.7,A minor,8A,3
oldfocks nu samples.mp3,80.7,D major,10B,5
Dreaming Jet 4.mp3,129.2,D minor,7A,9
plain jane xeno flip newest remaster.wav,80.7,A minor,8A,6
Janis and The Planets x SERGIK - Searching.wav,92.3,F major,7B,5
8.5.24 V2.0 groovin 120 bpm Note G.aif,86.1,D major,10B,5
Lazy Afternoon (0).wav,136.0,A minor,8A,5
Hip Hop 1.mp3,143.6,G# minor,1A,6
Dream Street (0).wav,80.7,C# minor,12A,6
5.24.24 2.0 LOVE 120 bpm A.aif,117.5,A major,11B,5
Always Constant.wav,89.1,D major,10B,7
blew up before it even started 12 smx.wav,143.6,C major,8B,6
SERPANT.aif,136.0,A minor,8A,6
01 Arza x Y2 (Prince) Prod Dame x.mp3,92.3,D minor,7A,7
Andino x SERGIK - Coming Thru 12.wav,129.2,D major,10B,6
SLAPSTICK BABY.mp3,107.7,D major,10B,6
Dont Stop FINAL.wav,129.2,D major,10B,4
Darker side of the street.mp3,123.0,B minor,10A,5
Night at the roxbury (Bass house) (Jcreate).wav,86.1,A minor,8A,6
tester - Dido - Thank You (Breauxx Remix).mp3,123.0,A major,11B,6
so here you go.wav,86.1,D major,10B,8
Lose Control ANAMORPHIC Remix V17.wav,129.2,A major,11B,7
BAGGINS - GIVING IT (Silent Jay x Sergik Remix).wav,129.2,A minor,8A,5
HOP BUNNY HOP.wav,92.3,E major,12B,7
edit mushrooms 86bpm.mp3,86.1,B minor,10A,7
versace mp3.mp3,89.1,F# minor,11A,7
"Daisy - Right Cheek, Left Cheek.mp3",143.6,A major,11B,6
SlowNMelloe.mp3,92.3,D minor,7A,6
Tenderly (0).wav,92.3,D minor,7A,6
uncertain 1st.wav,78.3,E minor,9A,6
RTB- CD-6.aif,143.6,D major,10B,7
flip the phase v3.wav,143.6,E minor,9A,5
Trip Hop 8.mp3,136.0,A# minor,3A,6
TEST.wav,117.5,D minor,7A,6
[FREE] Benny The Butcher Type Beat - 40 KEYZ.mp3,89.1,F# minor,11A,5
Kavon - Rose Colored Goggles_72bpm_R1.mp3,95.7,G# minor,1A,6
Janis and The Planets - Safespace (SERGIK Remix).wav,123.0,D minor,7A,5
ARZA - Swear Fo.mp3,92.3,F# minor,11A,6
Arza - California Dreams & Nightmares 144bpm E min.wav,143.6,E minor,9A,6
Jazzy Situation.mp3,80.7,D major,10B,6
I025_C045_080242.wav,92.3,A minor,8A,3
Feel Good (0).wav,129.2,D minor,7A,5
nsd x sergik - Get yours (Version 3).wav,117.5,F# major,2B,6
Lodin - I've Been Waitin' 2.wav,123.0,D major,10B,7
Sean Hart - ALWAYS SAFECRACKERAZ.wav,117.5,D major,10B,7
Ceemoar x Sergik - No Body.wav,86.1,D major,10B,9
Mike Crowe x SERGIK - Lifecycle Of Growth.wav,92.3,D major,10B,6
side of slapstick.wav,147.7,D major,10B,6
eta_x_Lodin_-_UP.mp3,86.1,A minor,8A,5
MARS.mp3,152.0,A minor,8A,6
today (0).wav,80.7,F major,7B,5
GOING UP SIR.wav,86.1,A minor,8A,7
HEART OF GLASS  SNARE_2.wav,129.2,B minor,10A,4
frank terry x sergik - repeat [mstr v2] (worth the weight mastering).wav,86.1,D major,10B,6
WUB V1.wav,136.0,E major,12B,6
Feel The Jam.mp3,89.1,A major,11B,4
Clowds of Color (0).wav,92.3,D minor,7A,5
ragga 110.wav,92.3,C major,8B,5
Zack Thrasher X Sergik - Sauced.wav,123.0,D minor,7A,7
Hidden World of Fungi - Michael Crowe x SERGIK.wav,136.0,A minor,8A,5
3 wise.mp3,117.5,D minor,7A,6
love me for me.mp3,117.5,A major,11B,9
Anthany Ray - Stagger (SERGIK Master).wav,136.0,A minor,8A,5
SERG x Batt - nuubee 2.wav,136.0,D major,10B,6
In The Groove - JCreate x Mewgun (0).wav,92.3,E major,12B,5
The Third (0).wav,86.1,A minor,8A,6
"Dunes of Dawn, Dilon Karim - Throwing Shade 2.mp3",136.0,D major,10B,5
shangralalalalalala   la.mp3,117.5,D minor,7A,3
Dilon Karim - Chancellor 1.wav,89.1,A major,11B,5
REMIND ME VOCAL.wav,112.3,A major,11B,5
C MAJOR W BATTLO.wav,92.3,A minor,8A,5
familyphoto - greg v1.wav,143.6,A minor,8A,6
Ease Da Mood.mp3,123.0,A major,11B,5
Auxlee x Silent Jay x SERGIK x Offmedz - Just Breathe.wav,117.5,D major,10B,6
NooD - bitch i grow v3.wav,123.0,F major,7B,5
Lodin - A Letter From Home.mp3,129.2,D major,10B,6
Me Being Subtle (0).wav,86.1,A major,11B,5
SBQTTC v3 2.wav,92.3,A minor,8A,7
Stov x SERGIK - Decomp.wav,117.5,D major,10B,7
The Third Eye.wav,143.6,F minor,4A,5
Flexing (0).wav,143.6,E minor,9A,5
womwomwom 121BPM v2.wav,86.1,A major,11B,6
slick x _ - Acid Wash.wav,123.0,A major,11B,5
Nicko Angelo - Bleep System.wav,129.2,D major,10B,5
8.23.24 V3.0  Poly Rhythm 120 BPM Note C.aif,117.5,C major,8B,5
01 robotron.mp3,86.1,A major,11B,7
03 Flirt.mp3,143.6,G major,9B,9
