filename,category,size_mb,modified,path
SERGIK - Drunk n UFO'n.wav,SERGIK WAVs,59.12,2022-05-13,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Drunk n UFO'n.wav
SERGIK - Dumb.wav,SERGIK WAVs,36.18,2021-09-09,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Dumb.wav
SERGIK - Early Morning.wav,SERGIK WAVs,59.57,2022-07-22,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Early Morning.wav
SERGIK - Everlast.wav,SERGIK WAVs,71.41,2022-06-17,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Everlast.wav
SERGIK - Fall Back.wav,SERGIK WAVs,58.14,2022-02-20,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Fall Back.wav
SERGIK - Fall Leafs.wav,SERGIK WAVs,26.32,2021-09-22,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Fall Leafs.wav
SERGIK - Feeling Lit .wav,SERGIK WAVs,50.87,2022-09-02,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Feeling Lit .wav
SERGIK - Feeling Lit.wav,SERGIK WAVs,50.39,2022-03-04,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Feeling Lit.wav
SERGIK - Floatin.wav,SERGIK WAVs,45.34,2023-05-09,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Floatin.wav
SERGIK - Freaks n Beats.wav,SERGIK WAVs,58.14,2022-03-15,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Freaks n Beats.wav
Sergik - Freaky Up In Here.wav,SERGIK WAVs,37.96,2021-08-27,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Sergik - Freaky Up In Here.wav
SERGIK - Frequency.wav,SERGIK WAVs,78.79,2022-05-16,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Frequency.wav
SERGIK - Fxck it.wav,SERGIK WAVs,41.99,2023-03-30,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Fxck it.wav
SERGIK - Get it Poppn.wav,SERGIK WAVs,36.53,2023-02-23,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Get it Poppn.wav
SERGIK - GET ON MY VIBE.2.wav,SERGIK WAVs,39.68,2021-12-27,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - GET ON MY VIBE.2.wav
SERGIK - GET ON MY VIBE.wav,SERGIK WAVs,39.68,2021-09-09,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - GET ON MY VIBE.wav
SERGIK - Get Up.wav,SERGIK WAVs,59.54,2021-12-30,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Get Up.wav
SERGIK - Give It Up.wav,SERGIK WAVs,59.11,2023-06-05,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Give It Up.wav
SERGIK - Going Fast.wav,SERGIK WAVs,66.86,2023-07-25,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Going Fast.wav
SERGIK - Going Fast2.wav,SERGIK WAVs,66.86,2023-07-25,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Going Fast2.wav
SERGIK - Going Fast3.wav,SERGIK WAVs,66.86,2023-07-26,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Going Fast3.wav
SERGIK - Gone Floating.wav,SERGIK WAVs,52.49,2022-12-20,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Gone Floating.wav
SERGIK - Groove Junkie.wav,SERGIK WAVs,41.02,2023-03-22,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Groove Junkie.wav
Sergik - Hard to Love.wav,SERGIK WAVs,32.3,2021-12-12,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Sergik - Hard to Love.wav
SERGIK - Have To Dance.wav,SERGIK WAVs,63.95,2022-07-14,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Have To Dance.wav
SERGIK - Head Up.wav,SERGIK WAVs,42.19,2022-01-02,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Head Up.wav
SERGIK - Hello Hello.wav,SERGIK WAVs,54.7,2022-01-15,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Hello Hello.wav
SERGIK - Hold Me Down.wav,SERGIK WAVs,73.7,2022-05-06,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Hold Me Down.wav
SERGIK - How Ya.wav,SERGIK WAVs,54.79,2023-06-17,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - How Ya.wav
SERGIK - HUSTLE.wav,SERGIK WAVs,38.76,2021-10-08,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - HUSTLE.wav
Sergik - I Could.wav,SERGIK WAVs,23.96,2021-11-26,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Sergik - I Could.wav
SERGIK - I Got.wav,SERGIK WAVs,55.19,2022-02-02,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - I Got.wav
SERGIK - I Like the way.wav,SERGIK WAVs,34.42,2021-09-09,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - I Like the way.wav
Sergik - Its On till Dawn .wav,SERGIK WAVs,70.78,2022-03-04,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Sergik - Its On till Dawn .wav
SERGIK - Juiced Up.wav,SERGIK WAVs,63.45,2022-11-19,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Juiced Up.wav
Sergik - Kittymean.wav,SERGIK WAVs,39.07,2021-11-04,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Sergik - Kittymean.wav
SERGIK - Kouch Potato.wav,SERGIK WAVs,7.81,2022-03-03,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Kouch Potato.wav
SERGIK - Last Night?.wav,SERGIK WAVs,54.79,2022-04-08,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Last Night?.wav
SERGIK - Let the music.wav,SERGIK WAVs,8.07,2021-09-23,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Let the music.wav
SERGIK - Leveled.wav,SERGIK WAVs,34.71,2021-09-21,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Leveled.wav
SERGIK - Like That.wav,SERGIK WAVs,55.19,2023-07-26,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Like That.wav
SERGIK - Lose Yourself.wav,SERGIK WAVs,51.36,2022-03-19,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Lose Yourself.wav
SERGIK - Losing Control.wav,SERGIK WAVs,37.81,2022-12-20,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Losing Control.wav
SERGIK - Lunar Gravity.wav,SERGIK WAVs,69.67,2022-05-27,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Lunar Gravity.wav
SERGIK - Mind Rollercoaster.wav,SERGIK WAVs,62.98,2022-02-06,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Mind Rollercoaster.wav
SERGIK - Motions.wav,SERGIK WAVs,26.5,2021-08-28,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Motions.wav
Sergik - Music is my drug.wav,SERGIK WAVs,64.34,2022-05-24,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Sergik - Music is my drug.wav
SERGIK - Never Hold Back (TechyesHausno mix).wav,SERGIK WAVs,61.03,2022-02-02,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Never Hold Back (TechyesHausno mix).wav
SERGIK - Never Hold Back.wav,SERGIK WAVs,63.47,2022-03-04,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Never Hold Back.wav
SERGIK - Nimbus Ride.wav,SERGIK WAVs,65.61,2022-03-19,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Nimbus Ride.wav
SERGIK - No Drama.wav,SERGIK WAVs,66.38,2022-02-02,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - No Drama.wav
SERGIK - No Fvcks Left.wav,SERGIK WAVs,62.78,2022-05-13,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - No Fvcks Left.wav
SERGIK - On Slack.wav,SERGIK WAVs,30.28,2023-05-05,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - On Slack.wav
SERGIK - On the Go.wav,SERGIK WAVs,27.98,2022-12-15,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - On the Go.wav
SERGIK - Ooh I Like That.wav,SERGIK WAVs,71.31,2022-08-10,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Ooh I Like That.wav
SERGIK - Oooh Ah Eee.wav,SERGIK WAVs,54.7,2022-03-24,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Oooh Ah Eee.wav
SERGIK - Oye Mami.wav,SERGIK WAVs,69.61,2022-06-24,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Oye Mami.wav
SERGIK - Party People.wav,SERGIK WAVs,40.69,2023-03-14,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Party People.wav
SERGIK - Peer Pressure.wav,SERGIK WAVs,62.98,2022-04-08,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Peer Pressure.wav
SERGIK - Preach to the Choir ft. Sewer.wav,SERGIK WAVs,45.65,2022-02-02,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Preach to the Choir ft. Sewer.wav
SERGIK - Rabbit hole.wav,SERGIK WAVs,31.26,2021-11-28,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Rabbit hole.wav
SERGIK - Radiowave Contact.wav,SERGIK WAVs,67.51,2022-06-10,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Radiowave Contact.wav
Sergik - Recuperate.wav,SERGIK WAVs,26.08,2021-08-07,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Sergik - Recuperate.wav
SERGIK - Rooftop Sunsets.wav,SERGIK WAVs,72.62,2022-06-25,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Rooftop Sunsets.wav
SERGIK - Roundabout No Exit.wav,SERGIK WAVs,60.69,2022-04-23,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Roundabout No Exit.wav
SERGIK - Rover Coasting.wav,SERGIK WAVs,67.5,2022-05-28,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Rover Coasting.wav
SERGIK - Rules Dont Apply.wav,SERGIK WAVs,60.6,2022-07-01,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Rules Dont Apply.wav
SERGIK - Self Love.wav,SERGIK WAVs,64.04,2022-03-19,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Self Love.wav
Sergik - Shifting.wav,SERGIK WAVs,66.42,2022-04-16,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Sergik - Shifting.wav
SERGIK - Something.wav,SERGIK WAVs,41.68,2023-04-08,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Something.wav
SERGIK - Soular Exploration.wav,SERGIK WAVs,60.12,2022-06-28,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Soular Exploration.wav
SERGIK - Space Dust.wav,SERGIK WAVs,24.82,2021-09-21,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Space Dust.wav
SERGIK - Space Travel.wav,SERGIK WAVs,63.02,2022-01-29,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Space Travel.wav
SERGIK - Spanktula.1.wav,SERGIK WAVs,50.39,2022-03-04,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Spanktula.1.wav
SERGIK - Spanktula.wav,SERGIK WAVs,50.39,2022-02-04,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Spanktula.wav
SERGIK - Swonky 1.wav,SERGIK WAVs,35.61,2023-03-23,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Swonky 1.wav
SERGIK - Swonky.wav,SERGIK WAVs,35.61,2023-03-22,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Swonky.wav
SERGIK - Take A Walk.wav,SERGIK WAVs,60.12,2022-06-30,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Take A Walk.wav
SERGIK - Take.wav,SERGIK WAVs,62.5,2022-03-04,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Take.wav
SERGIK - Tell me wat it do.wav,SERGIK WAVs,61.99,2022-12-01,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Tell me wat it do.wav
SERGIK - Tell Me What It Do.wav,SERGIK WAVs,61.51,2022-12-01,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Tell Me What It Do.wav
Sergik - Tell Me.wav,SERGIK WAVs,41.34,2021-09-08,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Sergik - Tell Me.wav
SERGIK - Temptations.wav,SERGIK WAVs,34.7,2021-12-13,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Temptations.wav
SERGIK - This is the sound.wav,SERGIK WAVs,40.76,2021-09-09,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - This is the sound.wav
SERGIK - Turn in to.wav,SERGIK WAVs,61.52,2022-04-03,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Turn in to.wav
SERGIK - Up All Night.wav,SERGIK WAVs,34.19,2021-12-10,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Up All Night.wav
SERGIK - Up n Down.wav,SERGIK WAVs,50.95,2022-11-19,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Up n Down.wav
SERGIK - Vibrationz.wav,SERGIK WAVs,69.67,2022-05-29,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Vibrationz.wav
SERGIK - Want What I Want.wav,SERGIK WAVs,59.59,2022-03-10,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Want What I Want.wav
Sergik - Warehouse District.1.wav,SERGIK WAVs,57.68,2022-02-02,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Sergik - Warehouse District.1.wav
Sergik - Warehouse District.wav,SERGIK WAVs,39.07,2021-12-02,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Sergik - Warehouse District.wav
SERGIK - We Got It.wav,SERGIK WAVs,39.41,2023-02-21,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - We Got It.wav
SERGIK - What You Gon Do.wav,SERGIK WAVs,62.98,2022-07-20,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - What You Gon Do.wav
SERGIK - Whats Her Name ft. Mateo Haze.wav,SERGIK WAVs,41.38,2022-01-30,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Whats Her Name ft. Mateo Haze.wav
SERGIK - Whats the Plan Ft. WWW.wav,SERGIK WAVs,37.12,2021-12-17,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Whats the Plan Ft. WWW.wav
SERGIK - When we go.wav,SERGIK WAVs,38.77,2023-04-19,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - When we go.wav
SERGIK - Why Not.wav,SERGIK WAVs,73.35,2022-05-22,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Why Not.wav
SERGIK - Wiggly.wav,SERGIK WAVs,37.42,2021-10-06,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - Wiggly.wav
SERGIK - WooksWonkWubz.wav,SERGIK WAVs,38.07,2022-03-19,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK - WooksWonkWubz.wav
Sergik ft. 1200runway x DJ Epidemik - Its My Birthday?.wav,SERGIK WAVs,39.07,2021-11-07,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/Sergik ft. 1200runway x DJ Epidemik - Its My Birthday?.wav
SERGIK ft. Javi - LOKO.wav,SERGIK WAVs,60.64,2022-05-13,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK ft. Javi - LOKO.wav
SERGIK ft. Residuo - Gottalotta.1.wav,SERGIK WAVs,63.49,2022-04-03,/Volumes/SERGIK 2tb2/Exports SERGIK/SERGIK WAVs/SERGIK ft. Residuo - Gottalotta.1.wav
